anime_id,genre
4155,Fantasy
1889,Mystery
137,Shounen
139,Shounen
23317,Shounen
558,Shounen
5040,
57,Shounen
33,Romance
5,Sci-Fi
1842,Shounen
6336,Sci-Fi
20651,Fantasy
1210,Drama
338,Romance
13759,Romance
6547,Drama
5081,Romance
32867,Mystery
264,Shounen
12859,Fantasy
853,Romance
5460,Mystery
6746,Mystery
5690,Comedy
329,Sci-Fi
34240,
513,Romance
6945,Comedy
1142,Drama
6811,Shounen
16664,Fantasy
1604,Shounen
22145,Shounen
2966,Fantasy
31964,Shounen
19363,Shounen
18195,Romance
9890,Drama
9130,Shounen
9863,Comedy
7674,Romance
11843,Shounen
16782,Romance
28675,Fantasy
3226,Shounen
21557,Mystery
31715,Romance
43,Sci-Fi
9617,Comedy
31051,Shounen
10153,Drama
1033,Fantasy
32188,Sci-Fi
3091,Mystery
12115,Fantasy
28223,Mystery
121,Fantasy
3002,
138,Shounen
6675,Sci-Fi
10800,Drama
32005,Mystery
813,Shounen
27821,Shounen
28725,Romance
585,Romance
16067,Fantasy
30,Drama
31490,Fantasy
759,Comedy
6,Comedy
6864,Mystery
9735,Sci-Fi
11977,Drama
11123,Romance
23847,Romance
33161,Romance
962,Shounen
1519,
2167,Romance
16706,Shounen
5681,Comedy
3901,Mystery
6467,Mystery
10271,
22507,
3701,Romance
19123,Shounen
33255,Shounen
372,Romance
265,Shounen
25681,Romance
4722,Romance
24277,Shounen
239,Sci-Fi
512,Fantasy
4477,Romance
15323,Shounen
31174,Comedy
23327,Sci-Fi
5365,Drama
3702,Comedy
3167,Sci-Fi
7465,Sci-Fi
7054,Romance
1257,Sci-Fi
23283,
2025,Sci-Fi
235,Mystery
1364,Mystery
18689,Shounen
22043,Fantasy
31988,Drama
20899,Shounen
1453,Romance
23623,Comedy
1559,Comedy
1382,Sci-Fi
23289,Romance
18,Drama
4814,Romance
16662,Drama
12031,
8129,Comedy
14513,Fantasy
2581,Sci-Fi
30015,Romance
6171,Shounen
1827,Fantasy
25013,Romance
1367,Mystery
27833,Mystery
26213,Comedy
1974,Drama
8425,Mystery
12069,Shounen
185,Drama
18679,Comedy
2034,Romance
437,Drama
721,Fantasy
12477,Sci-Fi
4938,Shounen
2402,Drama
6702,Fantasy
1566,Sci-Fi
31741,Fantasy
440,Fantasy
4107,Comedy
1506,Mystery
2759,
72,Comedy
3016,Sci-Fi
3783,Mystery
3927,Sci-Fi
11597,Mystery
28025,Mystery
24833,Comedy
29893,Shounen
27663,Shounen
1482,Comedy
3371,Sci-Fi
25313,Sci-Fi
1430,Comedy
33051,Sci-Fi
7720,Comedy
1914,Fantasy
20371,Romance
15039,Drama
2164,Mystery
237,Romance
2449,Sci-Fi
10643,Comedy
17739,Comedy
135,Shounen
6045,Romance
16001,Romance
6211,Drama
232,Romance
4789,Romance
16918,Shounen
16,Drama
1486,Romance
24997,
32902,Fantasy
8063,Romance
25879,Romance
889,
21419,Mystery
2952,Fantasy
934,Mystery
12189,Mystery
731,Drama
1530,Romance
9656,Romance
20507,Shounen
31149,Fantasy
4918,Mystery
14075,Mystery
4772,Shounen
781,Mystery
1363,Mystery
223,Shounen
2004,Drama
25649,Romance
153,Fantasy
5029,Shounen
302,Drama
8740,Shounen
5682,Drama
21647,Romance
16049,Sci-Fi
1065,Shounen
18179,Shounen
47,Sci-Fi
4901,
23199,Mystery
32122,Comedy
30415,
851,Comedy
10049,Shounen
1943,Sci-Fi
4053,Shounen
846,Romance
9926,Romance
31173,Romance
4059,Romance
589,Drama
15059,Drama
7791,Comedy
17265,Fantasy
20815,Romance
535,Fantasy
2563,Shounen
9963,Mystery
32551,Comedy
2951,Sci-Fi
2762,Romance
14713,Romance
14807,Mystery
81,Romance
9204,Fantasy
31098,Shounen
1023,Sci-Fi
33253,Mystery
24921,Sci-Fi
1471,Mystery
27831,Mystery
2924,Mystery
4672,Sci-Fi
2448,
3907,Shounen
186,Drama
10080,Shounen
30885,
21469,Sci-Fi
9941,Mystery
14813,Romance
6421,Fantasy
21855,Mystery
11739,Shounen
2159,Comedy
28297,Romance
29831,Drama
2154,
6505,Comedy
861,Mystery
1689,Romance
34103,Mystery
3665,Sci-Fi
9996,
7711,Fantasy
77,Drama
401,Romance
32093,Comedy
12113,Fantasy
7338,Sci-Fi
32613,
3014,Sci-Fi
645,
11135,Sci-Fi
5781,Fantasy
13767,Romance
5678,Drama
6774,Drama
1089,Sci-Fi
25161,Fantasy
995,Shounen
2752,Comedy
15,Shounen
122,Romance
29095,Drama
1594,Mystery
3092,Romance
10721,Mystery
16395,Comedy
3588,Shounen
4106,Comedy
387,Mystery
16916,Shounen
1088,Sci-Fi
10620,Shounen
2143,Fantasy
6582,Comedy
2158,Sci-Fi
22319,Mystery
11113,
6586,
66,Comedy
8142,Drama
6438,Mystery
33032,Fantasy
227,Comedy
73,
4898,Shounen
19111,
7222,Sci-Fi
22097,Fantasy
15689,Romance
957,Fantasy
24,Romance
33286,Shounen
849,Sci-Fi
2623,Drama
268,Comedy
29093,Drama
427,Fantasy
4280,Mystery
18429,Mystery
17549,Comedy
26123,Shounen
28,Comedy
9513,Shounen
14353,Mystery
8408,Comedy
13331,
4985,Drama
29803,Fantasy
22,Shounen
2618,Drama
793,Mystery
30279,Comedy
28755,Shounen
10029,Romance
2035,Romance
790,Mystery
9289,Drama
15809,Romance
27989,Drama
5630,Sci-Fi
2829,Drama
30831,Fantasy
416,Drama
85,Sci-Fi
30240,Romance
1254,Sci-Fi
2605,Comedy
4163,Romance
3228,Comedy
1485,Drama
6351,Romance
13119,Drama
3782,Romance
3572,Sci-Fi
8310,Romance
114,Comedy
11813,Comedy
658,
10012,Comedy
32370,Shounen
22961,Romance
22777,Shounen
29787,Comedy
7062,Comedy
11887,Romance
9088,Fantasy
12815,Comedy
12017,Mystery
6377,Comedy
1470,Mystery
780,Mystery
27633,Romance
2321,Shounen
17273,Comedy
429,Drama
18661,Fantasy
14349,Fantasy
1729,Drama
31973,Sci-Fi
17949,None
996,Romance
9465,Fantasy
14175,Drama
11239,Comedy
967,Sci-Fi
1695,Drama
339,Sci-Fi
7724,Mystery
2753,Drama
8516,Romance
779,Mystery
1366,Mystery
19319,
15195,Comedy
187,Drama
30311,Comedy
597,Drama
400,Sci-Fi
18245,Romance
10521,Comedy
28907,Fantasy
31637,Fantasy
1571,Mystery
267,Sci-Fi
253,Comedy
22673,Comedy
4080,Romance
27947,Comedy
12917,Fantasy
3750,
569,Sci-Fi
6007,Fantasy
1253,Shounen
15771,Comedy
397,Sci-Fi
949,Shounen
11001,Comedy
17909,Fantasy
21185,Shounen
9724,
6768,
4872,Comedy
12413,
2076,Mystery
31251,Sci-Fi
5485,Shounen
5005,Comedy
890,Sci-Fi
269,Shounen
14741,Romance
1472,Mystery
33028,Mystery
7304,
8609,Mystery
6033,Shounen
8479,Comedy
254,Comedy
8525,Shounen
19703,Fantasy
25517,Romance
31764,Fantasy
27775,Romance
21339,
2104,Romance
24893,Sci-Fi
2150,Fantasy
12445,Shounen
543,Sci-Fi
23225,Comedy
9252,Fantasy
12893,Shounen
1505,Mystery
4447,Mystery
317,Fantasy
22265,Comedy
13117,Drama
9563,Comedy
16904,
97,
20517,Romance
2273,Sci-Fi
1735,Shounen
20159,Fantasy
12403,Comedy
7044,Comedy
31646,Drama
32998,Drama
30123,Romance
31339,Fantasy
2890,
468,
29755,Shounen
25303,Shounen
24471,Fantasy
516,Sci-Fi
1425,Comedy
5310,Sci-Fi
93,Sci-Fi
8038,Comedy
322,Romance
6154,Sci-Fi
7588,
10083,Mystery
1172,Fantasy
31711,Sci-Fi
23249,Sci-Fi
202,Mystery
30370,Fantasy
9919,Shounen
1818,Shounen
34036,Mystery
10090,Sci-Fi
17895,Romance
1824,Drama
4192,Comedy
10357,Fantasy
19489,Fantasy
4472,Comedy
19613,
5530,Shounen
6591,
10218,Fantasy
388,Shounen
28999,Drama
1473,Mystery
1379,Drama
23293,Drama
1910,
33221,Sci-Fi
18897,Romance
31592,Fantasy
31380,Sci-Fi
28677,Shounen
7193,Drama
1961,Drama
21405,Romance
6024,Comedy
2761,Sci-Fi
1491,Sci-Fi
106,Romance
5835,Romance
3604,Comedy
11237,Comedy
2828,Drama
4087,
28881,
21473,Fantasy
582,Comedy
8311,Shounen
21995,Romance
532,Romance
552,Fantasy
13629,Romance
7645,Fantasy
249,Shounen
4886,Shounen
451,Shounen
9734,Comedy
433,Romance
6115,Mystery
80,Sci-Fi
1092,Sci-Fi
20767,
10119,Shounen
1921,Romance
1562,Comedy
11111,Mystery
32863,Comedy
11737,Shounen
28249,Fantasy
13535,Shounen
1520,Drama
28121,Fantasy
30191,Mystery
10497,Comedy
6862,Comedy
251,Fantasy
18153,Fantasy
875,Comedy
795,Drama
33994,Comedy
18397,Shounen
29830,Drama
16870,Shounen
479,Shounen
15197,
32189,Mystery
31859,Drama
15451,Romance
33446,Comedy
570,Drama
5680,Comedy
2175,Drama
1887,Comedy
90,Sci-Fi
91,Sci-Fi
2594,Drama
210,Fantasy
1007,Romance
19775,Sci-Fi
534,Fantasy
9790,Shounen
2582,Sci-Fi
407,Mystery
6213,Sci-Fi
1000,Sci-Fi
1375,Romance
8514,Fantasy
951,Comedy
12117,Shounen
2508,Comedy
19115,Drama
6904,
22125,Shounen
4454,Sci-Fi
32547,Comedy
15959,Shounen
16239,Shounen
31772,Sci-Fi
396,Sci-Fi
8407,Shounen
20057,Sci-Fi
9074,Romance
7305,Mystery
226,Romance
644,Romance
2405,Drama
15117,Shounen
10460,Shounen
6050,Shounen
444,Romance
82,Sci-Fi
15315,Fantasy
30347,Shounen
31704,Sci-Fi
1699,Fantasy
517,Romance
29829,Drama
30868,Mystery
22199,
14941,
978,Sci-Fi
2994,Mystery
14735,Mystery
10350,Fantasy
20431,Fantasy
15487,Shounen
1462,Drama
13667,Shounen
28927,Shounen
398,Sci-Fi
20847,Shounen
2451,Sci-Fi
8937,Sci-Fi
12883,Sci-Fi
30413,Shounen
30902,Comedy
6347,Romance
3841,Comedy
8086,Fantasy
9982,Fantasy
1888,Comedy
33082,None
1096,Mystery
14407,Fantasy
1719,Drama
290,Sci-Fi
154,Shounen
11757,Fantasy
5074,Comedy
31733,Romance
1690,Drama
4177,
10092,
9785,Mystery
985,Fantasy
18055,Fantasy
6984,Comedy
27991,
21659,Comedy
3545,Comedy
474,Sci-Fi
1211,Sci-Fi
9510,Comedy
5751,Shounen
3515,Shounen
13663,Sci-Fi
13851,Sci-Fi
6956,Comedy
9441,
233,Sci-Fi
2397,Comedy
345,Romance
71,Comedy
10793,Sci-Fi
9760,Fantasy
160,Fantasy
3713,Mystery
2593,Mystery
2454,Shounen
32380,Comedy
33263,Mystery
13203,Comedy
2963,Comedy
87,Sci-Fi
20,Shounen
31953,Comedy
28069,
1002,Sci-Fi
9471,Comedy
150,Mystery
60,Romance
19671,Comedy
120,Romance
74,Comedy
30364,Shounen
8426,Drama
33209,Romance
2547,Drama
22101,Romance
182,Romance
21867,Mystery
28979,Sci-Fi
16011,Shounen
22819,
9062,Comedy
477,Shounen
6772,Fantasy
2450,Shounen
5177,Mystery
2229,Fantasy
6927,Mystery
4811,Comedy
13403,Shounen
228,Mystery
30952,
24135,Romance
8795,Comedy
12021,Comedy
17249,
1011,Shounen
18119,Comedy
2787,Romance
6046,Fantasy
9000,
10717,
31580,Mystery
31483,Romance
531,Romance
4596,
1015,Comedy
4725,
6637,Romance
255,Comedy
10790,Comedy
23385,Fantasy
1418,Mystery
14511,Comedy
10389,Drama
7592,Shounen
31289,Shounen
32729,Sci-Fi
2112,Shounen
208,Mystery
30296,Romance
1008,Romance
65,Drama
2499,Shounen
3470,Romance
540,Shounen
26,Drama
1293,Romance
856,Fantasy
9201,Shounen
2214,
32108,Comedy
123,Romance
488,Comedy
3603,Shounen
32268,Mystery
7270,Drama
1376,Fantasy
464,Fantasy
9745,
21843,Fantasy
539,Shounen
14227,Romance
11319,Fantasy
24151,Romance
997,Romance
24913,Romance
31478,Mystery
28479,Mystery
2471,Sci-Fi
240,Comedy
1301,Sci-Fi
18619,
9065,Drama
5060,Comedy
3731,Romance
1412,Comedy
20785,Sci-Fi
2985,Shounen
1483,
10161,
462,Shounen
5507,
6444,Shounen
10715,
95,Sci-Fi
8247,Shounen
20031,Comedy
7471,Mystery
986,Sci-Fi
28669,Fantasy
2026,Comedy
450,Shounen
32491,Romance
6624,Romance
3466,Fantasy
15439,Fantasy
19669,Shounen
25015,Fantasy
331,Fantasy
33338,Fantasy
23777,Shounen
10278,Drama
2557,Drama
1830,Drama
24405,Shounen
4416,Sci-Fi
740,Romance
2213,Drama
371,Fantasy
7303,Mystery
430,Fantasy
1813,Comedy
16528,Sci-Fi
9288,Fantasy
6372,Romance
17,Shounen
3931,Drama
24439,Shounen
23441,Romance
1915,Drama
323,Mystery
2313,Fantasy
584,Sci-Fi
24543,Fantasy
6634,
355,Romance
30549,Drama
1279,
10033,Fantasy
11531,Mystery
966,Shounen
25341,Shounen
10534,Fantasy
32979,Comedy
132,Shounen
14467,
8532,Comedy
1606,Fantasy
9136,Shounen
2227,Drama
7627,Comedy
32485,Romance
6773,Romance
1650,Sci-Fi
2558,Drama
1840,Romance
33513,Comedy
2724,
905,Sci-Fi
32915,Mystery
1395,Shounen
10471,
5231,Shounen
5204,Romance
12487,Fantasy
324,Comedy
709,Sci-Fi
21755,Shounen
32668,
1034,Sci-Fi
33157,Comedy
23701,Romance
10716,
1924,Romance
33350,
3090,Romance
7647,Romance
530,Romance
3785,
7902,Fantasy
1281,Mystery
24765,Mystery
129,Shounen
7661,Drama
31997,Comedy
24703,Romance
10999,Shounen
6116,Comedy
16762,Shounen
18849,Fantasy
10500,Drama
14123,Fantasy
10573,Shounen
8675,Shounen
1557,Fantasy
14289,Romance
11743,Sci-Fi
30458,Drama
29854,Shounen
11433,Sci-Fi
31821,Shounen
14967,Romance
12049,Fantasy
6152,Fantasy
1393,Shounen
19191,
11617,Romance
10935,Drama
914,Comedy
24781,Shounen
21327,Shounen
10568,Mystery
1087,Shounen
33605,Comedy
15051,
11933,Comedy
23301,Fantasy
5493,Shounen
23775,Shounen
9751,
969,Shounen
32681,Comedy
2202,Sci-Fi
7762,Comedy
10495,Comedy
880,Romance
15061,
857,Shounen
110,Drama
23251,Shounen
587,Drama
12725,Drama
11013,Shounen
452,Shounen
1579,Romance
32869,Shounen
6793,Comedy
6172,Mystery
21105,Romance
194,Sci-Fi
3001,Comedy
8190,Comedy
23277,Romance
2498,Shounen
25729,Drama
4654,Sci-Fi
18139,Comedy
16005,Shounen
32015,Mystery
22147,Comedy
1946,Romance
67,Romance
32365,Shounen
14345,Sci-Fi
11359,Shounen
428,Drama
4188,Shounen
340,
10588,Sci-Fi
5958,Shounen
14669,Romance
1478,Comedy
8331,Mystery
455,Romance
18507,Comedy
27411,
17729,Romance
26023,Romance
21075,Comedy
8217,Fantasy
617,Shounen
31798,Drama
8841,Comedy
9396,Comedy
11371,Shounen
32542,Comedy
5306,Fantasy
177,Shounen
22729,
4835,Shounen
8888,
5348,Mystery
9786,Mystery
25687,Comedy
31552,Mystery
14131,
2002,Sci-Fi
145,Romance
5290,Sci-Fi
250,Shounen
23321,Fantasy
2743,Comedy
3626,Sci-Fi
10020,Comedy
1873,Shounen
528,Fantasy
2562,Mystery
1861,Shounen
8995,Fantasy
17437,Drama
32673,Fantasy
1985,Sci-Fi
304,Romance
12291,Romance
1488,Drama
4182,Comedy
874,Fantasy
2673,Comedy
31376,Shounen
1251,Romance
32215,Romance
2012,Shounen
2848,
15813,Fantasy
5162,Comedy
13245,Shounen
3673,
21667,Comedy
3848,Shounen
26243,Shounen
5419,Comedy
46,Drama
16241,Comedy
2198,Romance
1239,Romance
2768,Fantasy
2514,Mystery
1394,Shounen
17187,
11663,Drama
270,
1356,Drama
6553,Romance
1567,Romance
15437,Comedy
13655,Drama
334,Romance
7651,Drama
1029,Romance
209,Sci-Fi
15775,Comedy
10469,Mystery
16524,
10714,
32899,Romance
10216,Comedy
6408,Romance
32828,Comedy
10067,Drama
13115,Drama
2174,
821,Drama
5494,Drama
6604,Comedy
32526,
8100,
14527,Shounen
2835,Romance
2549,Drama
814,Shounen
28497,Fantasy
15989,
2098,Shounen
7858,Shounen
5118,Comedy
1651,Sci-Fi
691,Romance
11759,Romance
16273,Romance
1240,Drama
2424,Comedy
6573,Sci-Fi
21743,
901,Sci-Fi
14837,Shounen
31706,Fantasy
364,Mystery
4060,Fantasy
23269,Comedy
3165,Comedy
449,Shounen
32870,Shounen
522,Sci-Fi
96,Sci-Fi
10589,Shounen
3420,Fantasy
10378,Shounen
31327,
3369,
8197,Sci-Fi
1072,Fantasy
18499,Shounen
5075,
1195,Romance
1003,Romance
11235,Romance
586,Fantasy
4981,Drama
2961,Fantasy
1747,
2409,Fantasy
4039,Drama
2458,Romance
22693,Romance
1563,Romance
1289,Comedy
9181,Sci-Fi
33091,Drama
9979,Fantasy
1608,Drama
5277,Comedy
18523,Fantasy
7041,Comedy
2923,Comedy
9930,None
31297,Mystery
1919,Comedy
18753,Romance
18497,Shounen
21639,Fantasy
283,Drama
2889,Shounen
18671,Romance
16934,Comedy
1479,Shounen
2171,Mystery
32948,Drama
3213,Shounen
19195,
21273,Comedy
5998,Fantasy
2330,Comedy
3449,Drama
218,Shounen
1047,Drama
8476,Romance
13587,Sci-Fi
10257,
10731,Shounen
23281,
166,
8317,Comedy
8557,Shounen
1913,Comedy
25801,Drama
6802,Sci-Fi
30911,
200,Romance
3613,Comedy
3712,Romance
22419,None
13709,
1474,Mystery
15199,
8687,Sci-Fi
10765,Shounen
9023,Comedy
1454,Romance
3392,Romance
2971,Comedy
98,Romance
20541,Romance
1095,Drama
593,Sci-Fi
32566,
32026,Comedy
708,
10445,None
13391,
2596,Sci-Fi
441,Romance
5262,Comedy
1372,Comedy
2337,Sci-Fi
24627,Romance
102,Romance
24919,Sci-Fi
1686,
1681,Fantasy
2800,Drama
27601,Romance
22839,
356,Romance
6922,Fantasy
4061,Fantasy
28607,Comedy
9834,Sci-Fi
10075,Shounen
5854,Drama
2257,Sci-Fi
11889,Drama
1459,Shounen
8676,Romance
10719,Romance
59,Sci-Fi
4186,Fantasy
17121,Drama
6231,Mystery
7045,Fantasy
15613,Fantasy
6895,Drama
379,Sci-Fi
10209,Comedy
12053,
5713,Comedy
24227,Romance
6187,Romance
490,Comedy
64,Drama
5671,
5355,
20671,Drama
1728,Comedy
567,Mystery
1911,Comedy
481,
5244,Shounen
12187,Comedy
31553,
1477,Mystery
24655,Romance
1368,Mystery
2392,Comedy
18465,Comedy
852,Romance
9865,Comedy
6399,None
3652,Mystery
22763,Mystery
5710,Comedy
1091,Sci-Fi
7877,Drama
28149,Sci-Fi
34136,Sci-Fi
131,Fantasy
879,Romance
1642,Fantasy
5712,Fantasy
14189,Shounen
885,Drama
3974,Comedy
9047,Sci-Fi
2203,Sci-Fi
156,Romance
29,Sci-Fi
12149,
18893,Sci-Fi
11633,Comedy
17269,Sci-Fi
1476,Mystery
15201,
26349,Comedy
17641,Romance
25389,Shounen
6783,Mystery
32930,Fantasy
6291,
27631,Fantasy
134,Drama
5929,Drama
28825,Comedy
5291,None
12679,Comedy
9366,Comedy
1021,Romance
6707,Shounen
207,Shounen
1424,Comedy
3468,Romance
2518,Comedy
1241,Sci-Fi
32792,Sci-Fi
5252,Shounen
19221,Romance
165,Romance
13267,Shounen
25,Sci-Fi
5538,Shounen
24365,Comedy
2129,Romance
8481,Romance
1050,Sci-Fi
1222,Romance
1069,Sci-Fi
13349,
23359,Comedy
15583,Romance
5096,Fantasy
906,Sci-Fi
18393,Fantasy
1391,Shounen
2037,Romance
1773,
5228,Drama
389,Fantasy
3199,
9124,Comedy
327,Fantasy
130,Fantasy
2216,Drama
31680,Romance
15731,Drama
696,Shounen
12015,Mystery
11553,Romance
181,Shounen
2608,
1327,Shounen
2922,Drama
4037,Sci-Fi
24625,
8768,Romance
256,Sci-Fi
16009,Fantasy
435,Romance
10110,Romance
8246,Shounen
1203,
770,Drama
11499,Shounen
29786,Comedy
959,Drama
10294,
10713,Mystery
28285,Romance
10798,Mystery
12711,Romance
4752,Romance
183,Shounen
798,Drama
28771,
5251,Comedy
68,Shounen
2553,Drama
13335,Drama
1392,Shounen
19193,
506,Romance
20903,Drama
142,Romance
1004,Romance
10918,Sci-Fi
3358,Drama
76,Drama
32698,Romance
31722,Shounen
31414,Romance
353,Comedy
1060,Comedy
10178,Drama
19369,Fantasy
14267,Mystery
19291,Fantasy
792,Comedy
3674,Comedy
167,Sci-Fi
5909,Comedy
24037,
5233,Comedy
2014,Comedy
24459,Fantasy
1006,Shounen
27899,Mystery
3972,
25519,Fantasy
30869,Mystery
1536,Shounen
1475,Mystery
13837,Shounen
10703,Mystery
2672,Fantasy
23311,Fantasy
1852,Comedy
2228,Comedy
15591,Comedy
1808,Romance
489,Drama
2286,
2954,Comedy
3469,Romance
8460,Shounen
2929,Sci-Fi
31,Drama
1212,Sci-Fi
11179,Romance
9959,Drama
12067,Romance
2903,Comedy
2254,Sci-Fi
960,Drama
1577,Comedy
5667,Sci-Fi
4189,Drama
33094,Comedy
21435,Comedy
11701,Mystery
1589,Drama
9340,Comedy
7972,Comedy
2817,Fantasy
19163,Romance
1684,Comedy
9135,Fantasy
25183,Drama
23703,
10870,Comedy
1825,Drama
31158,Comedy
31665,Drama
2204,Mystery
1691,Romance
31227,Mystery
31952,Romance
1426,Comedy
10624,
520,Romance
3342,Sci-Fi
6325,Shounen
27787,Romance
3965,Romance
32051,Shounen
1010,Shounen
13429,Sci-Fi
399,Sci-Fi
5947,Comedy
8115,Fantasy
2126,Shounen
7870,Comedy
10396,Comedy
16592,Mystery
29067,Comedy
501,Fantasy
17535,Fantasy
9032,Shounen
1878,Drama
9213,Sci-Fi
16353,Romance
30829,
3268,Sci-Fi
2460,Drama
2253,Sci-Fi
1238,Fantasy
8769,Comedy
6896,Comedy
11835,Fantasy
16123,
30187,Mystery
15751,Fantasy
6572,Romance
2585,Drama
560,Drama
23725,
21737,Drama
1146,Sci-Fi
10629,None
2820,Comedy
113,Sci-Fi
970,
18177,Shounen
2548,Drama
101,Romance
103,Romance
15927,Comedy
3744,Romance
6880,
484,Shounen
476,Romance
14811,Comedy
242,Drama
9931,Drama
33241,Romance
31499,Comedy
9938,
822,Drama
2408,Sci-Fi
2927,Romance
17643,Comedy
1419,Comedy
158,Romance
1190,Shounen
23421,Mystery
5984,Romance
10464,Comedy
10483,
4715,Fantasy
2978,Sci-Fi
8726,Comedy
3125,Romance
30641,Comedy
24591,Comedy
25755,Shounen
30790,Shounen
2125,Shounen
763,Comedy
656,Romance
2969,
6676,
25731,
23383,Comedy
10531,Mystery
2656,Comedy
15925,Fantasy
20509,Fantasy
344,Sci-Fi
18229,
21039,
31324,None
4551,Fantasy
27969,Mystery
7337,Comedy
12729,Romance
20853,Romance
666,Shounen
29583,Shounen
633,Romance
1590,Comedy
1439,Mystery
10050,None
1064,Sci-Fi
2488,
14575,Comedy
84,Sci-Fi
17505,Shounen
1655,Comedy
23673,Romance
21031,
815,Shounen
17137,Fantasy
7662,Mystery
2942,Comedy
1764,Shounen
1170,Shounen
1081,Sci-Fi
4884,Drama
3352,Comedy
20977,Comedy
5332,Drama
1744,Romance
8457,Shounen
878,Romance
4038,Shounen
31245,Romance
4970,
1078,Comedy
4138,Fantasy
5593,
2665,Fantasy
2676,Sci-Fi
408,Fantasy
32696,Comedy
551,Shounen
32648,Shounen
15225,Romance
8074,
6064,Comedy
483,Sci-Fi
10628,Fantasy
1972,Comedy
5273,None
1288,Comedy
2269,Sci-Fi
601,Comedy
465,Fantasy
1117,Fantasy
10862,Shounen
710,Drama
10334,Romance
20709,Comedy
15793,
21573,
1815,Fantasy
15307,Fantasy
8098,Drama
198,Mystery
23319,
19251,Romance
2009,Drama
9611,Romance
50,Romance
31771,Shounen
2986,Comedy
3076,Romance
1373,Drama
1614,Shounen
15109,Shounen
5684,Fantasy
908,Fantasy
505,Comedy
15863,Sci-Fi
246,Romance
18835,
6574,Comedy
5150,Romance
30300,Romance
714,Romance
2336,Shounen
4312,
13261,Shounen
2407,Sci-Fi
519,Romance
330,Romance
6712,Romance
28299,Romance
17875,Romance
3292,Comedy
168,Sci-Fi
573,Sci-Fi
6153,Sci-Fi
1302,Sci-Fi
5034,
1548,Mystery
2555,Drama
33969,Mystery
565,Drama
27957,Comedy
855,Romance
5832,Drama
4703,Romance
33302,Shounen
15911,Comedy
764,Shounen
10479,Shounen
8756,Romance
20787,Sci-Fi
1450,Drama
10163,Mystery
2649,Sci-Fi
117,Fantasy
1250,Romance
31389,Shounen
653,Comedy
5521,Comedy
191,Romance
14833,Fantasy
20221,Comedy
3655,Shounen
6030,Sci-Fi
463,Shounen
2107,Fantasy
1094,Shounen
238,Shounen
18041,Drama
3256,Sci-Fi
17080,Drama
18277,Shounen
30321,Shounen
33558,
13333,
8022,Comedy
27,
3791,Shounen
11266,Shounen
22433,Fantasy
485,Comedy
2512,Mystery
2658,Sci-Fi
6930,Fantasy
6401,None
3568,Shounen
1441,Fantasy
15699,Comedy
30991,Comedy
14753,Romance
13469,None
18295,
3958,Shounen
32574,Shounen
845,Fantasy
32953,None
1090,Sci-Fi
1722,Fantasy
2472,Fantasy
4437,Shounen
1237,Shounen
13659,Comedy
2141,
108,Fantasy
161,Comedy
527,Fantasy
2182,Fantasy
13599,Mystery
4664,Comedy
32175,Comedy
1171,Shounen
6381,
11793,Drama
4663,
2113,Fantasy
